PS1,PS2,PS3,PS4,PS5,PS6,VS1,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,SE,CE,CP,Class
190.54,166.29,11.195,0.0,8.738999999999999,8.682,0.8440000000000001,2847.6,20.479,9.398,52.23,56.82,53.633,47.465,82.042,20.842,1.62,1
190.58,166.23,11.242,0.0,8.748,8.681000000000001,0.831,2849.4,20.479,9.394,52.23,56.84,53.637,47.465,82.259,20.732,1.621,1
190.5,166.22,11.469,0.0,8.735,8.674,0.914,2847.6,20.479,9.384,52.324,56.895,53.715,47.449,82.117,21.077,1.641,1
190.48,166.41,11.297,0.0,8.741,8.682,0.885,2845.6,20.479,9.384,52.324,56.89100000000001,53.645,47.449,82.23899999999998,21.081,1.644,1
190.48,166.31,10.844,0.0,8.738,8.675,0.8079999999999999,2845.8,20.479,9.392,52.316,56.895,53.727,47.777,82.161,20.334,1.584,1
190.55,166.3,11.242,0.0,8.737,8.677999999999999,0.86,2851.0,20.479,9.394,52.324,56.934,53.77,47.539,82.28399999999998,20.352,1.587,1
190.46,166.49,11.414,0.0,8.736,8.677,0.927,2849.4,20.479,9.405,52.312,56.984,53.812,47.617,82.479,20.354,1.591,1
190.44,166.13,11.195,0.0,8.731,8.673,0.8959999999999999,2847.4,20.479,9.383,52.477,57.0,53.812,47.539,82.197,20.968000000000004,1.6369999999999998,1
190.44,166.34,11.242,0.0,8.734,8.675,0.947,2847.6,20.479,9.394,52.402,57.0,53.898,47.738,82.579,20.288,1.5830000000000002,1
190.46,166.41,11.297,0.0,8.726,8.666,0.821,2845.6,20.479,9.383,52.562,57.004,53.879,47.867,81.874,19.932,1.544,1
190.55,166.34,11.156,0.0,8.724,8.666,0.8220000000000001,2845.8,20.479,9.395,52.57,57.023,53.98,48.004,82.55799999999998,20.184,1.541,1
190.54,166.28,11.32,0.0,8.724,8.668,0.8059999999999999,2849.4,20.479,9.405,52.742,57.078,53.898,47.953,82.25,20.581,1.546,1
190.47,166.18,11.328,0.0,8.718,8.663,0.7340000000000001,2849.4,20.479,9.388,52.738,57.152,54.055,47.867,82.385,21.867,1.65,1
190.47,166.27,11.297,0.0,8.715,8.658,0.8420000000000001,2849.0,20.479,9.379,52.734,57.172,54.16,48.082,82.165,20.948,1.575,1
190.48,166.3,11.359000000000002,0.0,8.71,8.651,0.952,2849.4,20.479,9.375,52.83600000000001,57.262,54.184,48.121,82.287,21.301,1.592,1
190.48,166.27,10.867,0.0,8.708,8.651,0.804,2849.4,20.479,9.374,52.902,57.254,54.21100000000001,48.18,82.103,21.592,1.62,1
190.56,166.08,11.523,0.0,8.712,8.654,0.8590000000000001,2845.6,20.479,9.363,52.98,57.309,54.375,48.199,82.589,21.428,1.612,1
190.49,166.3,11.539,0.0,8.702,8.644,0.833,2843.8,20.479,9.374,52.988,57.39100000000001,54.297,48.133,82.281,21.233,1.59,1
190.54,166.34,11.734000000000002,0.0,8.697000000000001,8.641,0.988,2845.4,20.479,9.372,52.992,57.41,54.375,48.203,82.09200000000001,21.307,1.601,1
190.49,166.29,10.977,0.0,8.696,8.641,0.884,2851.8,20.479,9.37,53.074,57.484,54.387,48.363,82.132,21.041,1.579,1
190.41,166.24,11.140999999999998,0.0,8.698,8.639,0.807,2843.4,20.479,9.35,53.074,57.504,54.457,48.277,82.14200000000002,21.531,1.608,1
190.41,166.22,11.156,0.0,8.7,8.646,0.773,2848.2,20.479,9.368,53.16,57.512,54.551,48.28100000000001,82.04799999999999,21.533,1.6,1
190.39,166.3,11.352,0.0,8.693999999999999,8.638,0.873,2845.6,20.479,9.354,53.168,57.5,54.613,48.402,82.353,21.116,1.59,1
190.41,166.23,11.602,0.0,8.693,8.637,0.99,2850.0,20.479,9.346,53.215,57.574,54.578,48.426,82.17200000000003,21.262,1.595,1
190.48,166.18,11.265999999999998,0.0,8.691,8.641,0.777,2847.8,20.479,9.347,53.207,57.64100000000001,54.547,48.371,81.883,20.828000000000007,1.591,1
190.38,166.16,11.492,0.0,8.69,8.635,0.862,2851.0,20.479,9.369,53.227,57.625,54.648,48.363,82.24,21.466,1.618,1
190.49,166.16,11.344,0.0,8.689,8.632,0.836,2849.8,20.479,9.358,53.23,57.664,54.58600000000001,48.359,81.835,21.748,1.643,1
190.46,166.12,11.508,0.0,8.687999999999999,8.626,0.799,2850.8,20.479,9.344,53.234,57.676,54.695,48.418,82.23200000000001,21.81,1.666,1
190.47,166.12,11.0,0.0,8.685,8.632,0.8009999999999999,2851.2,20.479,9.339,53.312,57.703,54.633,48.352,81.521,21.328000000000007,1.62,1
190.49,166.4,11.437,0.0,8.687999999999999,8.634,0.868,2853.0,20.479,9.341,53.312,57.742,54.738,48.437,82.057,21.827,1.666,1
190.44,166.24,11.43,0.0,8.689,8.627,0.8290000000000001,2851.0,20.479,9.341,53.395,57.746,54.723,48.437,81.80199999999998,21.453000000000007,1.62,1
190.42,166.34,11.265999999999998,0.0,8.686,8.634,0.8690000000000001,2851.2,20.479,9.334,53.402,57.758,54.762,48.426,81.672,21.793000000000006,1.638,1
190.52,166.27,11.727,0.0,8.687999999999999,8.631,0.975,2851.2,20.479,9.364,53.40600000000001,57.762,54.805,48.602,82.00399999999998,21.592,1.6130000000000002,1
190.47,166.14,11.383,0.0,8.685,8.632,0.7440000000000001,2853.2,20.479,9.349,53.488,57.762,54.809,48.352,82.05799999999998,22.399,1.6740000000000002,1
190.41,166.22,10.922,0.0,8.677999999999999,8.622,0.767,2855.2,20.479,9.343,53.48,57.777,54.809,48.68,81.582,22.007,1.6469999999999998,1
190.48,166.27,11.461,0.0,8.686,8.625,0.797,2855.0,20.479,9.336,53.508,57.867,54.762,48.742,82.09,20.365,1.5490000000000002,1
190.49,166.21,11.703,0.0,8.675,8.623,0.878,2851.0,20.479,9.326,53.5,57.934,54.875,48.773,82.125,20.204,1.558,1
190.44,166.18,11.25,0.0,8.675,8.62,1.074,2851.0,20.479,9.331,53.473,57.926,54.957,48.828,82.52600000000002,20.27,1.55,1
190.47,166.03,11.32,0.0,8.672,8.619,1.003,2849.0,20.479,9.336,53.562,57.98,54.965,48.828,82.359,20.315,1.551,1
190.5,165.98,11.453,0.0,8.667,8.616,0.7859999999999999,2845.4,20.479,9.309,53.484,57.992,55.039,48.83600000000001,82.001,20.161,1.556,1
190.54,166.08,11.547,0.0,8.66,8.602,0.93,2843.6,20.479,9.309,53.574,58.01600000000001,55.062,48.852,82.134,20.247,1.567,1
190.5,165.85,11.656,0.0,8.667,8.609,0.8340000000000001,2843.6,20.479,9.314,53.59,58.008,55.051,48.852,81.692,20.668000000000006,1.584,1
190.42,166.26,11.164,0.0,8.665,8.609,0.97,2845.6,20.479,9.323,53.645,58.008,55.051,48.82,81.779,20.977,1.601,1
190.46,165.75,11.742,0.0,8.668,8.613,0.956,2843.6,20.479,9.331,53.652,58.03100000000001,55.035,48.848,81.917,20.118,1.55,1
190.47,165.9,11.031,0.0,8.663,8.601,0.8959999999999999,2845.0,20.479,9.324,53.64100000000001,58.03100000000001,55.062,48.945,82.17,20.208,1.556,1
190.42,166.32,11.328,0.0,8.658,8.599,0.76,2843.4,20.479,9.308,53.65600000000001,58.03100000000001,55.059,48.953,82.189,20.304,1.5590000000000002,1
190.46,166.16,11.383,0.0,8.663,8.602,0.826,2841.6,20.479,9.314,53.746,58.074,55.062,48.84,82.285,21.071,1.6,1
190.57,166.29,11.383,0.0,8.658,8.596,0.897,2841.8,20.479,9.302,53.75,58.113,55.102,49.023,82.23899999999998,21.002,1.5930000000000002,1
190.72,166.32,11.414,0.0,8.658,8.602,0.831,2843.4,20.479,9.301,53.746,58.129,55.078,48.953,82.334,20.581,1.5659999999999998,1
190.5,166.26,11.617,0.0,8.655,8.597000000000001,0.922,2849.4,20.479,9.307,53.832,58.184,55.148,49.02,82.242,20.699,1.571,1
190.5,166.31,11.398,0.0,8.652999999999999,8.595,0.858,2842.6,20.479,9.3,53.832,58.238,55.238,49.039,81.883,20.434,1.57,1
190.68,166.21,11.109000000000002,0.0,8.652999999999999,8.594,0.8270000000000001,2847.4,20.479,9.304,53.746,58.26600000000001,55.238,49.035,82.01100000000002,20.417,1.568,1
190.44,166.21,11.227,0.0,8.651,8.599,0.877,2843.6,20.479,9.314,53.832,58.285,55.227,49.098,81.595,20.357,1.55,1
190.39,166.29,11.156,0.0,8.652999999999999,8.597000000000001,1.028,2847.6,20.479,9.304,53.828,58.273,55.242,49.03100000000001,81.813,20.904,1.596,1
190.54,166.31,11.344,0.0,8.645,8.59,1.065,2849.6,20.479,9.312,53.832,58.273,55.238,49.105,81.829,20.747,1.574,1
190.42,166.24,11.344,0.0,8.656,8.587,0.851,2851.4,20.479,9.288,53.91,58.277,55.242,49.074,81.793,20.934,1.585,1
190.42,166.23,11.219,0.0,8.649,8.592,1.041,2845.6,20.479,9.288,53.992,58.285,55.316,49.191,82.101,20.593000000000004,1.567,1
190.42,166.28,11.398,0.0,8.646,8.583,0.901,2845.6,20.479,9.296,53.91,58.289,55.316,49.203,81.995,20.449,1.554,1
190.54,166.29,11.344,0.0,8.644,8.587,0.925,2843.8,20.479,9.307,53.977,58.355,55.39100000000001,49.125,82.071,20.45,1.5730000000000002,1
190.41,166.38,11.164,0.0,8.646,8.587,0.8240000000000001,2845.6,20.479,9.291,53.91,58.348,55.316,49.125,82.064,20.174,1.5659999999999998,1
190.44,166.18,11.562,0.0,8.646,8.589,0.8809999999999999,2841.4,20.479,9.284,53.914,58.359,55.402,49.207,82.219,20.318,1.578,1
190.41,166.12,11.515999999999998,0.0,8.638,8.582,0.83,2845.6,20.479,9.297,53.922,58.348,55.402,49.203,81.98299999999998,20.119,1.57,1
190.56,166.23,11.492,0.0,8.637,8.58,0.8109999999999999,2843.8,20.479,9.289,53.926,58.387,55.402,49.203,82.051,20.055,1.5630000000000002,1
190.72,165.98,11.406,0.0,8.642000000000001,8.583,0.851,2841.6,20.479,9.292,54.012,58.426,55.398,49.21100000000001,81.806,20.015,1.5659999999999998,1
190.41,166.02,11.273,0.0,8.646,8.58,0.823,2841.8,20.479,9.297,54.0,58.449,55.402,49.203,81.95,20.122,1.575,1
190.47,166.16,11.305,0.0,8.641,8.583,0.979,2843.6,20.479,9.281,53.992,58.441,55.465,49.203,82.48899999999998,20.96,1.631,1
190.52,166.31,11.352,0.0,8.639,8.578,0.797,2847.6,20.479,9.281,54.012,58.449,55.449,49.203,82.23,20.042,1.571,1
190.44,166.38,11.297,0.0,8.636000000000001,8.577,0.87,2843.6,20.479,9.292,53.926,58.441,55.414,49.246,81.834,20.097,1.574,1
190.44,166.13,11.398,0.0,8.642000000000001,8.585,0.828,2847.2,20.479,9.288,54.059,58.484,55.496,49.246,82.087,20.05,1.565,1
190.41,166.31,11.398,0.0,8.639,8.583,0.942,2845.4,20.479,9.296,54.055,58.523,55.402,49.23,81.93799999999997,19.795,1.5530000000000002,1
190.44,166.19,11.547,0.0,8.632,8.58,0.979,2839.6,20.479,9.281,54.07,58.535,55.453,49.21100000000001,82.346,19.881,1.555,1
190.52,166.12,11.242,0.0,8.639,8.58,0.8909999999999999,2843.4,20.479,9.279,54.082,58.523,55.437,49.21100000000001,81.893,19.99,1.56,1
190.52,166.28,11.328,0.0,8.642000000000001,8.583,0.8109999999999999,2841.6,20.479,9.292,54.098,58.523,55.484,49.246,82.21,20.164,1.571,1
190.66,166.21,11.461,0.0,8.638,8.58,0.956,2845.4,20.479,9.29,54.07,58.523,55.449,49.262,82.125,19.972,1.565,1
190.41,166.16,11.359000000000002,0.0,8.635,8.582,0.914,2843.6,20.479,9.28,54.004,58.53100000000001,55.512,49.234,82.228,20.204,1.581,1
190.44,166.11,11.32,0.0,8.635,8.573,0.955,2845.4,20.479,9.283,54.074,58.523,55.492,49.273,81.836,20.017,1.567,1
190.42,166.06,11.539,0.0,8.635,8.575,0.862,2845.4,20.479,9.292,54.066,58.543,55.496,49.242,82.20100000000002,20.042,1.57,1
190.44,166.24,11.109000000000002,0.0,8.637,8.577,0.935,2843.6,20.479,9.271,54.059,58.547,55.492,49.273,82.241,19.928,1.5619999999999998,1
190.41,166.18,11.344,0.0,8.639,8.573,0.787,2845.8,20.479,9.281,54.08600000000001,58.547,55.484,49.27,81.883,19.948,1.5619999999999998,1
190.46,166.28,11.453,0.0,8.637,8.576,0.904,2845.6,20.479,9.279,54.08600000000001,58.53100000000001,55.48,49.285,81.62,19.901,1.56,1
190.46,166.09,11.273,0.0,8.63,8.574,0.89,2847.4,20.479,9.289,54.08600000000001,58.578,55.496,49.277,82.04299999999998,20.051,1.574,1
190.5,166.21,11.398,0.0,8.636000000000001,8.579,0.979,2845.8,20.479,9.292,54.164,58.617,55.574,49.277,81.934,20.184,1.59,1
190.44,166.06,11.32,0.0,8.633,8.58,0.7759999999999999,2843.4,20.479,9.296,54.137,58.617,55.504,49.246,82.193,20.222,1.59,1
190.41,166.31,11.469,0.0,8.634,8.575,0.959,2845.6,20.479,9.267,54.176,58.668,55.492,49.242,81.91,20.603,1.611,1
190.52,166.42,11.523,0.0,8.636000000000001,8.577,0.952,2841.8,20.479,9.288,54.16,58.625,55.465,49.297,82.11200000000002,19.959,1.567,1
190.41,166.23,11.398,0.0,8.632,8.568999999999999,0.917,2843.6,20.479,9.272,54.152,58.617,55.574,49.352,81.469,20.158,1.585,1
190.48,166.29,11.781,0.0,8.627,8.57,0.8759999999999999,2840.0,20.479,9.271,54.176,58.625,55.578,49.367,81.77199999999998,19.968,1.568,1
190.46,166.26,11.758,0.0,8.629,8.573,0.8079999999999999,2843.6,20.479,9.279,54.187,58.652,55.652,49.285,81.774,20.407,1.612,1
190.41,166.03,11.562,0.0,8.628,8.574,1.036,2843.4,20.479,9.277,54.148,58.625,55.59,49.367,81.805,20.062,1.575,1
190.44,166.19,11.711,0.0,8.627,8.568,0.8109999999999999,2842.0,20.479,9.267,54.18,58.625,55.64100000000001,49.379,81.78,20.163,1.578,1
190.47,166.2,11.484000000000002,0.0,8.632,8.57,1.033,2839.6,20.479,9.284,54.125,58.629,55.652,49.277,81.904,20.269,1.609,1
190.49,166.22,11.617,0.0,8.63,8.574,0.8740000000000001,2841.4,20.479,9.287,54.164,58.633,55.652,49.289,81.752,20.356,1.597,1
190.41,166.31,11.711,0.0,8.626,8.573,0.8859999999999999,2843.4,20.479,9.273,54.16,58.652,55.652,49.375,81.568,20.165,1.59,1
190.41,165.8,11.398,0.0,8.626,8.566,0.934,2847.0,20.479,9.267,54.172,58.687,55.59,49.383,81.726,19.934,1.564,1
190.44,166.23,11.547,0.0,8.629,8.567,1.007,2849.0,20.479,9.274,54.254,58.707,55.58600000000001,49.289,81.896,20.152,1.587,1
190.52,166.34,11.375,0.0,8.632,8.571,0.942,2841.8,20.479,9.266,54.113,58.68,55.64100000000001,49.367,81.842,20.133,1.581,1
190.41,166.34,11.461,0.0,8.627,8.567,0.868,2840.6,20.479,9.276,54.172,58.695,55.707,49.375,81.991,20.313,1.6,1
190.41,166.06,11.742,0.0,8.627,8.564,0.972,2847.6,20.479,9.269,54.27,58.78100000000001,55.633,49.375,81.45100000000002,20.288,1.607,1
190.38,165.93,11.515999999999998,0.0,8.621,8.56,0.8590000000000001,2847.4,20.479,9.272,54.152,58.699,55.64100000000001,49.449,81.845,20.272,1.5930000000000002,1
190.5,166.08,11.578,0.0,8.627,8.568,0.872,2839.6,20.479,9.273,54.242,58.762,55.645,49.383,81.58800000000002,20.343,1.596,1
190.48,166.27,11.062,0.0,8.621,8.561,0.868,2845.6,20.479,9.277,54.254,58.78100000000001,55.652,49.289,81.557,20.447,1.602,1
190.39,165.95,11.578,0.0,8.62,8.562000000000001,1.032,2839.6,20.479,9.272,54.238,58.738,55.707,49.289,81.78399999999998,20.547,1.611,1
190.44,166.34,11.406,0.0,8.62,8.564,0.8590000000000001,2841.8,20.479,9.287,54.242,58.793,55.687,49.375,81.88600000000002,20.397,1.598,1
190.44,166.01,11.023,0.0,8.621,8.559,0.969,2839.4,20.479,9.266,54.242,58.789,55.65600000000001,49.449,82.00200000000002,20.512,1.611,1
190.41,166.19,11.539,0.0,8.615,8.559,0.915,2845.0,20.479,9.267,54.26600000000001,58.78100000000001,55.707,49.457,82.22,20.175,1.588,1
190.49,166.09,11.414,0.0,8.613999999999999,8.558,0.899,2843.8,20.479,9.272,54.26600000000001,58.78100000000001,55.687,49.375,82.02600000000002,20.414,1.601,1
190.52,166.16,11.844,0.0,8.616,8.559,1.063,2842.2,20.479,9.285,54.258,58.805,55.727,49.367,81.964,20.609,1.62,1
190.41,166.24,11.765999999999998,0.0,8.618,8.561,0.9,2845.0,20.479,9.283,54.254,58.793,55.727,49.441,81.775,20.363,1.59,1
190.8,165.93,11.656,0.0,8.616,8.561,1.024,2845.2,20.479,9.271,54.258,58.793,55.707,49.367,82.00299999999999,20.371,1.595,1
190.42,166.37,11.625,0.539,8.615,8.561,0.8220000000000001,2843.2,20.479,9.276,54.32,58.863,55.727,49.445,82.23899999999998,20.538,1.619,1
190.44,166.19,11.265999999999998,0.0,8.616,8.559,0.922,2845.0,20.479,9.283,54.33600000000001,58.871,55.65600000000001,49.434,82.416,20.371,1.59,1
190.41,166.03,11.281,0.0,8.611,8.555,1.051,2847.2,20.479,9.264,54.34,58.859,55.699,49.5,82.105,20.552,1.614,1
190.47,166.12,11.375,0.0,8.618,8.555,0.883,2845.6,20.479,9.262,54.33600000000001,58.871,55.75,49.484,81.903,20.341,1.594,1
190.46,166.41,11.305,0.0,8.607999999999999,8.548,0.887,2843.0,20.479,9.267,54.26600000000001,58.871,55.746,49.445,82.214,20.453,1.61,1
190.44,166.13,11.602,0.0,8.616,8.554,0.8809999999999999,2839.4,20.479,9.27,54.258,58.883,55.75,49.496,81.93799999999997,20.071,1.5730000000000002,1
190.41,166.4,11.633,0.0,8.613,8.552999999999999,0.976,2843.8,20.479,9.276,54.26600000000001,58.875,55.738,49.51600000000001,81.958,20.041,1.567,1
190.46,166.27,11.602,0.0,8.613,8.552999999999999,0.97,2845.6,20.479,9.29,54.33600000000001,58.887,55.828,49.488,82.184,20.341,1.591,1
190.46,166.2,11.297,0.0,8.607999999999999,8.55,0.923,2851.0,20.479,9.264,54.324,58.875,55.832,49.488,81.976,20.681,1.622,1
