PS1,PS2,PS3,PS4,PS5,PS6,VS1,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,SE,CE,CP,CoolerCondition,ValveCondition,PumpLeakage,HydraulicAccumulator,Stable
190.7,164.56,10.835999999999999,0.0,8.884,8.81,0.7140000000000001,2867.8,20.317999999999998,9.644,49.453,53.887,50.608999999999995,45.465,81.84,18.656,1.375,3,100,0,130,1
190.79,165.65,10.695,0.0,8.862,8.8,0.762,2863.8,20.479,9.632,49.629,54.117,50.762,45.547,81.898,18.711,1.38,3,100,0,130,1
190.76,166.47,10.890999999999998,0.0,8.861,8.79,0.723,2865.4,20.463,9.611,49.773,54.273,51.02,45.718999999999994,81.61,19.08,1.419,3,100,0,130,1
190.8,166.4,10.969000000000001,0.0,8.84,8.776,0.72,2861.6,20.479,9.606,50.012,54.418,51.215,45.887,81.682,18.747,1.401,3,100,0,130,1
190.69,166.27,10.672,0.0,8.84,8.771,0.726,2861.6,20.479,9.586,50.16,54.625,51.281000000000006,45.891000000000005,82.119,18.852,1.4080000000000001,3,100,0,130,1
190.69,166.24,11.195,0.0,8.833,8.767000000000001,0.804,2863.8,20.46,9.568,50.223,54.691,51.434,45.98,81.95100000000001,19.129,1.44,3,100,0,130,1
190.72,165.95,10.695,0.0,8.825,8.755,0.7120000000000001,2861.4,20.253,9.582,50.383,54.809,51.641000000000005,46.191,82.523,19.137,1.433,3,100,0,130,1
190.63,166.38,11.117,0.0,8.827,8.756,0.7340000000000001,2861.6,20.479,9.568999999999999,50.473,54.937,51.77,46.18,82.179,19.409000000000002,1.465,3,100,0,130,1
190.58,166.38,10.695,0.0,8.82,8.755,0.752,2857.6,20.479,9.548,50.578,55.102,51.828,46.363,81.876,19.529,1.474,3,100,0,130,1
190.7,166.49,10.937000000000001,0.0,8.807,8.743,0.965,2861.4,20.479,9.539,50.703,55.223,52.043,46.48,82.005,19.204,1.449,3,100,0,130,1
190.58,166.31,10.640999999999998,0.0,8.806000000000001,8.741,0.841,2855.6,20.479,9.525,50.797,55.305,52.051,46.461000000000006,82.355,19.459,1.4669999999999999,3,100,0,130,1
190.56,164.99,10.75,0.0,8.809,8.738999999999999,0.8079999999999999,2855.6,20.423,9.512,50.879,55.449,52.218999999999994,46.625,81.873,19.453,1.4669999999999999,3,100,0,130,1
190.56,166.22,11.030999999999999,0.0,8.806000000000001,8.747,0.826,2856.6,20.479,9.514,51.008,55.477,52.293,46.633,81.939,19.195999999999998,1.4609999999999999,3,100,0,130,1
190.56,166.26,10.445,0.0,8.801,8.738999999999999,0.897,2859.4,20.479,9.494,51.023,55.52,52.473,46.723,81.934,19.422,1.4880000000000002,3,100,0,130,1
190.6,166.5,11.085999999999999,0.0,8.795,8.735,0.7340000000000001,2861.6,20.479,9.494,51.129,55.645,52.473,46.699,82.223,19.713,1.5030000000000001,3,100,0,130,1
190.93,166.29,10.835999999999999,0.0,8.805,8.737,0.7809999999999999,2859.8,20.479,9.501,51.223,55.723,52.468999999999994,46.707,81.67699999999999,20.074,1.534,3,100,0,130,1
190.59,166.44,11.133,0.0,8.787,8.729,0.733,2859.8,20.479,9.485,51.301,55.773,52.672,46.867,82.086,19.593,1.508,3,100,0,130,1
190.59,164.18,10.922,0.0,8.795,8.724,0.75,2859.8,20.347,9.47,51.395,55.891000000000005,52.684,46.937,81.98,19.673,1.515,3,100,0,130,1
190.6,166.38,11.062000000000001,0.0,8.787,8.727,0.9079999999999999,2861.0,20.479,9.477,51.398,55.941,52.785,46.879,81.745,19.702,1.517,3,100,0,130,1
190.55,166.18,11.078,0.0,8.783,8.722000000000001,0.846,2857.8,20.479,9.466000000000001,51.477,55.977,52.867,47.043,82.035,19.645,1.5190000000000001,3,100,0,130,1
190.55,166.27,10.992,0.0,8.78,8.715,0.8390000000000001,2853.6,20.479,9.461,51.483999999999995,56.047,52.875,47.117,81.9,19.816,1.5290000000000001,3,100,0,130,1
190.58,166.21,10.812000000000001,0.0,8.786,8.717,0.875,2861.0,20.479,9.45,51.566,56.141000000000005,52.968999999999994,47.105,82.118,19.852,1.5319999999999998,3,100,0,130,1
190.56,166.41,10.977,0.0,8.777000000000001,8.714,0.777,2862.2,20.479,9.466000000000001,51.656000000000006,56.215,53.051,47.093999999999994,82.102,20.2,1.567,3,100,0,130,1
190.55,166.3,11.023,0.0,8.771,8.712,0.747,2853.4,20.479,9.445,51.727,56.233999999999995,53.098,47.117,82.10700000000001,20.304000000000002,1.57,3,100,0,130,1
190.78,166.21,11.133,0.0,8.76,8.71,0.746,2855.6,20.479,9.449,51.742,56.288999999999994,53.078,47.121,82.273,20.012999999999998,1.551,3,100,0,130,1
190.56,166.28,10.859000000000002,0.0,8.758,8.705,0.7559999999999999,2855.8,20.479,9.435,51.809,56.379,53.117,47.066,82.476,20.153,1.5590000000000002,3,100,0,130,1
190.63,166.23,11.047,0.0,8.752,8.696,1.028,2851.4,20.479,9.425,51.898,56.398,53.285,47.332,81.89,20.053,1.5490000000000002,3,100,0,130,1
190.58,166.39,11.008,0.0,8.762,8.696,0.74,2853.4,20.479,9.446,51.926,56.483999999999995,53.297,47.288999999999994,82.09700000000001,20.125999999999998,1.5590000000000002,3,100,0,130,1
190.54,166.37,11.030999999999999,0.0,8.752,8.696,0.873,2851.8,20.479,9.431000000000001,51.898,56.488,53.293,47.207,81.82600000000001,20.427,1.5819999999999999,3,100,0,130,1
190.5,166.34,11.030999999999999,0.0,8.753,8.693999999999999,0.995,2851.8,20.479,9.426,51.968999999999994,56.551,53.348,47.266000000000005,82.465,20.314,1.578,3,100,0,130,1
190.56,166.44,11.140999999999998,0.0,8.75,8.693999999999999,0.7929999999999999,2855.8,20.479,9.416,52.059,56.578,53.375,47.453,82.275,19.956,1.544,3,100,0,130,1
190.54,166.26,10.953,0.0,8.749,8.693,0.805,2851.6,20.479,9.408,52.051,56.602,53.461000000000006,47.512,82.111,19.927,1.541,3,100,0,130,1
190.55,166.31,10.969000000000001,0.0,8.743,8.685,0.777,2849.6,20.479,9.406,52.059,56.672,53.48,47.461000000000006,82.179,20.305999999999997,1.571,3,100,0,130,1
190.55,166.2,11.047,0.0,8.748,8.687000000000001,0.753,2849.6,20.479,9.415,52.141000000000005,56.746,53.48,47.293,81.932,20.664,1.611,3,100,0,130,1
190.58,166.4,11.633,0.0,8.75,8.701,0.8909999999999999,2853.0,20.479,9.425,52.148,56.754,53.535,47.461000000000006,82.02600000000001,20.137999999999998,1.565,3,100,0,130,1
190.55,166.27,10.992,0.0,8.748,8.684,0.76,2849.6,20.479,9.402999999999999,52.218999999999994,56.758,53.512,47.523,82.428,20.125,1.571,3,100,0,130,1
190.84,166.23,11.405999999999999,0.0,8.747,8.681000000000001,0.78,2848.6,20.479,9.398,52.223,56.797,53.543,47.371,82.281,20.682,1.6030000000000002,3,100,0,130,1
190.54,166.29,11.195,0.0,8.738999999999999,8.682,0.8440000000000001,2847.6,20.479,9.398,52.23,56.82,53.633,47.465,82.042,20.842,1.62,3,100,0,130,1
190.58,166.23,11.242,0.0,8.748,8.681000000000001,0.831,2849.4,20.479,9.394,52.23,56.84,53.637,47.465,82.259,20.732,1.621,3,100,0,130,1
190.5,166.22,11.469000000000001,0.0,8.735,8.674,0.914,2847.6,20.479,9.384,52.324,56.895,53.715,47.449,82.117,21.076999999999998,1.641,3,100,0,130,1
190.48,166.41,11.297,0.0,8.741,8.682,0.885,2845.6,20.479,9.384,52.324,56.891000000000005,53.645,47.449,82.23899999999999,21.081,1.6440000000000001,3,100,0,130,1
190.48,166.31,10.844000000000001,0.0,8.738,8.675,0.8079999999999999,2845.8,20.479,9.392000000000001,52.316,56.895,53.727,47.777,82.161,20.334,1.584,3,100,0,130,1
190.55,166.3,11.242,0.0,8.737,8.677999999999999,0.86,2851.0,20.479,9.394,52.324,56.934,53.77,47.538999999999994,82.28399999999999,20.352,1.587,3,100,0,130,1
190.46,166.49,11.414000000000001,0.0,8.736,8.677,0.927,2849.4,20.479,9.405,52.312,56.983999999999995,53.812,47.617,82.479,20.354,1.591,3,100,0,130,1
190.44,166.13,11.195,0.0,8.731,8.673,0.8959999999999999,2847.4,20.479,9.383,52.477,57.0,53.812,47.538999999999994,82.197,20.968000000000004,1.6369999999999998,3,100,0,130,1
190.44,166.34,11.242,0.0,8.734,8.675,0.9470000000000001,2847.6,20.479,9.394,52.402,57.0,53.898,47.738,82.579,20.288,1.5830000000000002,3,100,0,130,1
190.46,166.41,11.297,0.0,8.726,8.666,0.821,2845.6,20.479,9.383,52.562,57.004,53.879,47.867,81.874,19.932000000000002,1.544,3,100,0,130,1
190.55,166.34,11.155999999999999,0.0,8.724,8.666,0.8220000000000001,2845.8,20.479,9.395,52.57,57.023,53.98,48.004,82.55799999999999,20.184,1.541,3,100,0,130,1
190.54,166.28,11.32,0.0,8.724,8.668,0.8059999999999999,2849.4,20.479,9.405,52.742,57.078,53.898,47.953,82.25,20.581,1.546,3,100,0,130,1
190.47,166.18,11.328,0.0,8.718,8.663,0.7340000000000001,2849.4,20.479,9.388,52.738,57.152,54.055,47.867,82.385,21.866999999999997,1.65,3,100,0,130,1
190.47,166.27,11.297,0.0,8.715,8.658,0.8420000000000001,2849.0,20.479,9.379,52.733999999999995,57.172,54.16,48.082,82.165,20.948,1.575,3,100,0,130,1
190.48,166.3,11.359000000000002,0.0,8.71,8.651,0.9520000000000001,2849.4,20.479,9.375,52.836000000000006,57.262,54.184,48.121,82.287,21.301,1.5919999999999999,3,100,0,130,1
190.48,166.27,10.867,0.0,8.708,8.651,0.804,2849.4,20.479,9.374,52.902,57.254,54.211000000000006,48.18,82.103,21.592,1.62,3,100,0,130,1
190.56,166.08,11.523,0.0,8.712,8.654,0.8590000000000001,2845.6,20.479,9.363,52.98,57.309,54.375,48.199,82.589,21.428,1.6119999999999999,3,100,0,130,1
190.49,166.3,11.539000000000001,0.0,8.702,8.644,0.833,2843.8,20.479,9.374,52.988,57.391000000000005,54.297,48.133,82.281,21.233,1.59,3,100,0,130,1
190.54,166.34,11.734000000000002,0.0,8.697000000000001,8.641,0.988,2845.4,20.479,9.372,52.992,57.41,54.375,48.203,82.09200000000001,21.307,1.601,3,100,0,130,1
190.49,166.29,10.977,0.0,8.696,8.641,0.884,2851.8,20.479,9.37,53.074,57.483999999999995,54.387,48.363,82.132,21.041,1.579,3,100,0,130,1
190.41,166.24,11.140999999999998,0.0,8.698,8.639,0.807,2843.4,20.479,9.35,53.074,57.504,54.457,48.277,82.14200000000001,21.531,1.608,3,100,0,130,1
190.41,166.22,11.155999999999999,0.0,8.7,8.646,0.773,2848.2,20.479,9.368,53.16,57.512,54.551,48.281000000000006,82.04799999999999,21.533,1.6,3,100,0,130,1
190.39,166.3,11.352,0.0,8.693999999999999,8.638,0.873,2845.6,20.479,9.354,53.168,57.5,54.613,48.402,82.353,21.116,1.59,3,100,0,130,1
190.41,166.23,11.602,0.0,8.693,8.637,0.99,2850.0,20.479,9.346,53.215,57.574,54.578,48.426,82.17200000000001,21.261999999999997,1.595,3,100,0,130,1
190.48,166.18,11.265999999999998,0.0,8.691,8.641,0.777,2847.8,20.479,9.347000000000001,53.207,57.641000000000005,54.547,48.371,81.883,20.828000000000003,1.591,3,100,0,130,1
190.38,166.16,11.492,0.0,8.69,8.635,0.862,2851.0,20.479,9.369,53.227,57.625,54.648,48.363,82.24,21.465999999999998,1.618,3,100,0,130,1
190.49,166.16,11.344000000000001,0.0,8.689,8.632,0.836,2849.8,20.479,9.357999999999999,53.23,57.663999999999994,54.586000000000006,48.358999999999995,81.835,21.748,1.643,3,100,0,130,1
190.46,166.12,11.508,0.0,8.687999999999999,8.626,0.799,2850.8,20.479,9.344,53.233999999999995,57.676,54.695,48.418,82.23200000000001,21.81,1.666,3,100,0,130,1
190.47,166.12,11.0,0.0,8.685,8.632,0.8009999999999999,2851.2,20.479,9.339,53.312,57.703,54.633,48.352,81.521,21.328000000000003,1.62,3,100,0,130,1
190.49,166.4,11.437000000000001,0.0,8.687999999999999,8.634,0.868,2853.0,20.479,9.341000000000001,53.312,57.742,54.738,48.437,82.057,21.826999999999998,1.666,3,100,0,130,1
190.44,166.24,11.43,0.0,8.689,8.627,0.8290000000000001,2851.0,20.479,9.341000000000001,53.395,57.746,54.723,48.437,81.80199999999999,21.453000000000003,1.62,3,100,0,130,1
190.42,166.34,11.265999999999998,0.0,8.686,8.634,0.8690000000000001,2851.2,20.479,9.334,53.402,57.758,54.762,48.426,81.672,21.793000000000003,1.6380000000000001,3,100,0,130,1
190.52,166.27,11.727,0.0,8.687999999999999,8.631,0.975,2851.2,20.479,9.363999999999999,53.406000000000006,57.762,54.805,48.602,82.00399999999999,21.592,1.6130000000000002,3,100,0,130,1
190.47,166.14,11.383,0.0,8.685,8.632,0.7440000000000001,2853.2,20.479,9.349,53.488,57.762,54.809,48.352,82.05799999999999,22.399,1.6740000000000002,3,100,0,130,1
190.41,166.22,10.922,0.0,8.677999999999999,8.622,0.767,2855.2,20.479,9.343,53.48,57.777,54.809,48.68,81.582,22.006999999999998,1.6469999999999998,3,100,0,130,1
190.48,166.27,11.460999999999999,0.0,8.686,8.625,0.797,2855.0,20.479,9.336,53.508,57.867,54.762,48.742,82.09,20.365,1.5490000000000002,3,100,0,130,1
190.49,166.21,11.703,0.0,8.675,8.623,0.878,2851.0,20.479,9.326,53.5,57.934,54.875,48.773,82.125,20.204,1.558,3,100,0,130,1
190.44,166.18,11.25,0.0,8.675,8.62,1.074,2851.0,20.479,9.331,53.473,57.926,54.957,48.828,82.52600000000001,20.27,1.55,3,100,0,130,1
190.47,166.03,11.32,0.0,8.672,8.619,1.003,2849.0,20.479,9.336,53.562,57.98,54.965,48.828,82.359,20.315,1.551,3,100,0,130,1
190.5,165.98,11.453,0.0,8.667,8.616,0.7859999999999999,2845.4,20.479,9.309,53.483999999999995,57.992,55.038999999999994,48.836000000000006,82.001,20.160999999999998,1.556,3,100,0,130,1
190.54,166.08,11.547,0.0,8.66,8.602,0.93,2843.6,20.479,9.309,53.574,58.016000000000005,55.062,48.852,82.134,20.247,1.567,3,100,0,130,1
190.5,165.85,11.655999999999999,0.0,8.667,8.609,0.8340000000000001,2843.6,20.479,9.314,53.59,58.008,55.051,48.852,81.692,20.668000000000003,1.584,3,100,0,130,1
190.42,166.26,11.164000000000001,0.0,8.665,8.609,0.97,2845.6,20.479,9.323,53.645,58.008,55.051,48.82,81.779,20.976999999999997,1.601,3,100,0,130,1
190.46,165.75,11.742,0.0,8.668,8.613,0.956,2843.6,20.479,9.331,53.652,58.031000000000006,55.035,48.848,81.917,20.118,1.55,3,100,0,130,1
190.47,165.9,11.030999999999999,0.0,8.663,8.601,0.8959999999999999,2845.0,20.479,9.324,53.641000000000005,58.031000000000006,55.062,48.945,82.17,20.208,1.556,3,100,0,130,1
190.42,166.32,11.328,0.0,8.658,8.599,0.76,2843.4,20.479,9.308,53.656000000000006,58.031000000000006,55.059,48.953,82.189,20.304000000000002,1.5590000000000002,3,100,0,130,1
190.46,166.16,11.383,0.0,8.663,8.602,0.826,2841.6,20.479,9.314,53.746,58.074,55.062,48.84,82.285,21.070999999999998,1.6,3,100,0,130,1
190.57,166.29,11.383,0.0,8.658,8.596,0.897,2841.8,20.479,9.302,53.75,58.113,55.102,49.023,82.23899999999999,21.002,1.5930000000000002,3,100,0,130,1
190.72,166.32,11.414000000000001,0.0,8.658,8.602,0.831,2843.4,20.479,9.301,53.746,58.129,55.078,48.953,82.334,20.581,1.5659999999999998,3,100,0,130,1
190.5,166.26,11.617,0.0,8.655,8.597000000000001,0.922,2849.4,20.479,9.307,53.832,58.184,55.148,49.02,82.242,20.699,1.571,3,100,0,130,1
190.5,166.31,11.398,0.0,8.652999999999999,8.595,0.858,2842.6,20.479,9.3,53.832,58.238,55.238,49.038999999999994,81.883,20.434,1.57,3,100,0,130,1
190.68,166.21,11.109000000000002,0.0,8.652999999999999,8.594,0.8270000000000001,2847.4,20.479,9.304,53.746,58.266000000000005,55.238,49.035,82.01100000000001,20.417,1.568,3,100,0,130,1
190.44,166.21,11.227,0.0,8.651,8.599,0.877,2843.6,20.479,9.314,53.832,58.285,55.227,49.098,81.595,20.357,1.55,3,100,0,130,1
190.39,166.29,11.155999999999999,0.0,8.652999999999999,8.597000000000001,1.028,2847.6,20.479,9.304,53.828,58.273,55.242,49.031000000000006,81.813,20.904,1.5959999999999999,3,100,0,130,1
190.54,166.31,11.344000000000001,0.0,8.645,8.59,1.065,2849.6,20.479,9.312000000000001,53.832,58.273,55.238,49.105,81.829,20.747,1.574,3,100,0,130,1
190.42,166.24,11.344000000000001,0.0,8.656,8.587,0.851,2851.4,20.479,9.288,53.91,58.277,55.242,49.074,81.793,20.934,1.585,3,100,0,130,1
190.42,166.23,11.219000000000001,0.0,8.649,8.592,1.041,2845.6,20.479,9.288,53.992,58.285,55.316,49.191,82.101,20.593000000000004,1.567,3,100,0,130,1
190.42,166.28,11.398,0.0,8.646,8.583,0.9009999999999999,2845.6,20.479,9.296,53.91,58.288999999999994,55.316,49.203,81.995,20.449,1.554,3,100,0,130,1
190.54,166.29,11.344000000000001,0.0,8.644,8.587,0.925,2843.8,20.479,9.307,53.977,58.355,55.391000000000005,49.125,82.071,20.45,1.5730000000000002,3,100,0,130,1
190.41,166.38,11.164000000000001,0.0,8.646,8.587,0.8240000000000001,2845.6,20.479,9.291,53.91,58.348,55.316,49.125,82.064,20.174,1.5659999999999998,3,100,0,130,1
190.44,166.18,11.562000000000001,0.0,8.646,8.589,0.8809999999999999,2841.4,20.479,9.283999999999999,53.913999999999994,58.358999999999995,55.402,49.207,82.219,20.317999999999998,1.578,3,100,0,130,1
190.41,166.12,11.515999999999998,0.0,8.638,8.582,0.83,2845.6,20.479,9.297,53.922,58.348,55.402,49.203,81.98299999999999,20.119,1.57,3,100,0,130,1
190.56,166.23,11.492,0.0,8.637,8.58,0.8109999999999999,2843.8,20.479,9.289,53.926,58.387,55.402,49.203,82.051,20.055,1.5630000000000002,3,100,0,130,1
190.72,165.98,11.405999999999999,0.0,8.642000000000001,8.583,0.851,2841.6,20.479,9.292,54.012,58.426,55.398,49.211000000000006,81.806,20.015,1.5659999999999998,3,100,0,130,1
190.41,166.02,11.273,0.0,8.646,8.58,0.823,2841.8,20.479,9.297,54.0,58.449,55.402,49.203,81.95,20.122,1.575,3,100,0,130,1
190.47,166.16,11.305,0.0,8.641,8.583,0.9790000000000001,2843.6,20.479,9.281,53.992,58.441,55.465,49.203,82.48899999999999,20.96,1.631,3,100,0,130,1
190.52,166.31,11.352,0.0,8.639,8.578,0.797,2847.6,20.479,9.281,54.012,58.449,55.449,49.203,82.23,20.042,1.571,3,100,0,130,1
190.44,166.38,11.297,0.0,8.636000000000001,8.577,0.87,2843.6,20.479,9.292,53.926,58.441,55.413999999999994,49.246,81.834,20.097,1.574,3,100,0,130,1
190.44,166.13,11.398,0.0,8.642000000000001,8.585,0.828,2847.2,20.479,9.288,54.059,58.483999999999995,55.496,49.246,82.087,20.05,1.565,3,100,0,130,1
190.41,166.31,11.398,0.0,8.639,8.583,0.9420000000000001,2845.4,20.479,9.296,54.055,58.523,55.402,49.23,81.93799999999999,19.795,1.5530000000000002,3,100,0,130,1
190.44,166.19,11.547,0.0,8.632,8.58,0.9790000000000001,2839.6,20.479,9.281,54.07,58.535,55.453,49.211000000000006,82.346,19.881,1.555,3,100,0,130,1
190.52,166.12,11.242,0.0,8.639,8.58,0.8909999999999999,2843.4,20.479,9.279,54.082,58.523,55.437,49.211000000000006,81.893,19.99,1.56,3,100,0,130,1
190.52,166.28,11.328,0.0,8.642000000000001,8.583,0.8109999999999999,2841.6,20.479,9.292,54.098,58.523,55.483999999999995,49.246,82.21,20.164,1.571,3,100,0,130,1
190.66,166.21,11.460999999999999,0.0,8.638,8.58,0.956,2845.4,20.479,9.29,54.07,58.523,55.449,49.262,82.125,19.972,1.565,3,100,0,130,1
190.41,166.16,11.359000000000002,0.0,8.635,8.582,0.914,2843.6,20.479,9.28,54.004,58.531000000000006,55.512,49.233999999999995,82.228,20.204,1.581,3,100,0,130,1
190.44,166.11,11.32,0.0,8.635,8.573,0.955,2845.4,20.479,9.283,54.074,58.523,55.492,49.273,81.836,20.017,1.567,3,100,0,130,1
190.42,166.06,11.539000000000001,0.0,8.635,8.575,0.862,2845.4,20.479,9.292,54.066,58.543,55.496,49.242,82.20100000000001,20.042,1.57,3,100,0,130,1
190.44,166.24,11.109000000000002,0.0,8.637,8.577,0.935,2843.6,20.479,9.271,54.059,58.547,55.492,49.273,82.241,19.928,1.5619999999999998,3,100,0,130,1
190.41,166.18,11.344000000000001,0.0,8.639,8.573,0.787,2845.8,20.479,9.281,54.086000000000006,58.547,55.483999999999995,49.27,81.883,19.948,1.5619999999999998,3,100,0,130,1
190.46,166.28,11.453,0.0,8.637,8.576,0.904,2845.6,20.479,9.279,54.086000000000006,58.531000000000006,55.48,49.285,81.62,19.901,1.56,3,100,0,130,1
190.46,166.09,11.273,0.0,8.63,8.574,0.89,2847.4,20.479,9.289,54.086000000000006,58.578,55.496,49.277,82.04299999999999,20.051,1.574,3,100,0,130,1
190.5,166.21,11.398,0.0,8.636000000000001,8.579,0.9790000000000001,2845.8,20.479,9.292,54.163999999999994,58.617,55.574,49.277,81.934,20.184,1.59,3,100,0,130,1
190.44,166.06,11.32,0.0,8.633,8.58,0.7759999999999999,2843.4,20.479,9.296,54.137,58.617,55.504,49.246,82.193,20.222,1.59,3,100,0,130,1
190.41,166.31,11.469000000000001,0.0,8.634,8.575,0.9590000000000001,2845.6,20.479,9.267000000000001,54.176,58.668,55.492,49.242,81.91,20.603,1.611,3,100,0,130,1
190.52,166.42,11.523,0.0,8.636000000000001,8.577,0.9520000000000001,2841.8,20.479,9.288,54.16,58.625,55.465,49.297,82.11200000000001,19.959,1.567,3,100,0,130,1
190.41,166.23,11.398,0.0,8.632,8.568999999999999,0.917,2843.6,20.479,9.272,54.152,58.617,55.574,49.352,81.469,20.158,1.585,3,100,0,130,1
190.48,166.29,11.780999999999999,0.0,8.627,8.57,0.8759999999999999,2840.0,20.479,9.271,54.176,58.625,55.578,49.367,81.77199999999999,19.968,1.568,3,100,0,130,1
190.46,166.26,11.758,0.0,8.629,8.573,0.8079999999999999,2843.6,20.479,9.279,54.187,58.652,55.652,49.285,81.774,20.407,1.6119999999999999,3,100,0,130,1
190.41,166.03,11.562000000000001,0.0,8.628,8.574,1.036,2843.4,20.479,9.277000000000001,54.148,58.625,55.59,49.367,81.805,20.062,1.575,3,100,0,130,1
190.44,166.19,11.710999999999999,0.0,8.627,8.568,0.8109999999999999,2842.0,20.479,9.267000000000001,54.18,58.625,55.641000000000005,49.379,81.78,20.163,1.578,3,100,0,130,1
190.47,166.2,11.484000000000002,0.0,8.632,8.57,1.033,2839.6,20.479,9.283999999999999,54.125,58.629,55.652,49.277,81.904,20.269000000000002,1.609,3,100,0,130,1
190.49,166.22,11.617,0.0,8.63,8.574,0.8740000000000001,2841.4,20.479,9.287,54.163999999999994,58.633,55.652,49.288999999999994,81.752,20.355999999999998,1.597,3,100,0,130,1
